List the type of the recent files in my drive	GET drive.recent
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id's of top 7 files named as network biological in the order of their size from smallest to biggest?	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
Provide me with the number of files that were last edited by Steve.	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the number of files about Install_Issues that were created by Cotterell two hours ago.	GET drive.root.children FILTER file.createdDateTime eq two hours ago FILTER file.createdBy eq Cotterell FILTER file.name eq Install_Issues COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Provide the number of files that were last modified by Thyfault.	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the number of files created by Aurges and modified by Jenell Keahey.	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many files were updated by Dillaman?	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
What are the id's of top 7 files named as network biological in the order of their size from smallest to biggest?	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
How many xlsx files were created last Tuesday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id's of top 7 files named as network biological in the order of their size from smallest to biggest?	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What are the id of files I have in my drive?	GET drive.root.children
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many png files were created by Lawana and last modified by Blair?	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
How many png files were created by Lawana and last modified by Blair?	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
Give me the id of top 7 network biological files and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
What are the id's of top 7 files named as network biological in the order of their size from smallest to biggest?	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
Give me the number of files created by Aurges and modified by Jenell Keahey.	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
How many files I have in my drive that were shared with anyone?	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the number of files created by Aurges and modified by Jenell Keahey.	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide the number of files that were last modified by Thyfault.	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
How many files were updated by Dillaman?	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
Give me the number of files about Install_Issues that were created by Cotterell two hours ago.	GET drive.root.children FILTER file.createdDateTime eq two hours ago FILTER file.createdBy eq Cotterell FILTER file.name eq Install_Issues COUNT
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id of files I have in my drive?	GET drive.root.children
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Provide the number of files that were last modified by Thyfault.	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
What are the id's of top 7 files named as network biological in the order of their size from smallest to biggest?	GET drive.root.children FILTER file.name eq network biological ORDERBY file.size asc TOP 7
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
Give me the number of files created by Aurges and modified by Jenell Keahey.	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
Provide me with the number of files that were last edited by Steve.	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
Provide me with the number of files that were last upated this Sunday and created last Monday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many xlsx files were created last Tuesday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
Provide me the number of files that were created by Lawana and last modified by Blair.	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
How many files were updated by Dillaman?	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
How many files did Aurges created and Jenell Keahey last updated?	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
Provide me the number of files that were created by Lawana and last modified by Blair.	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
Give me the number of files about Install_Issues that were created by Cotterell two hours ago.	GET drive.root.children FILTER file.createdDateTime eq two hours ago FILTER file.createdBy eq Cotterell FILTER file.name eq Install_Issues COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many files is in my drive that were last modified last Sunday and created on last Monday?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
What are the id of files I have in my drive?	GET drive.root.children
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
show me the id of top 4 document detection files ordered by last modified time from newest to oldest.	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
How many Install_Issues files were created by Cotterell two hours ago?	GET drive.root.children FILTER file.createdDateTime eq two hours ago FILTER file.createdBy eq Cotterell FILTER file.name eq Install_Issues COUNT
Provide me with the number of files that were last edited by Steve.	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
How many files is in my drive that were last modified last Sunday and created on last Monday?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
Provide me with the number of files that were last upated this Sunday and created last Monday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
Give me the number of files about Install_Issues that were created by Cotterell two hours ago.	GET drive.root.children FILTER file.createdDateTime eq two hours ago FILTER file.createdBy eq Cotterell FILTER file.name eq Install_Issues COUNT
How many png files were created by Lawana and last modified by Blair?	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
Provide me with the number of files that were last upated this Sunday and created last Monday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
Provide me the number of files that were created by Lawana and last modified by Blair.	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
How many xlsx files were created last Tuesday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
How many png files were created by Lawana and last modified by Blair?	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many xlsx files were created last Tuesday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
Give me the number of files created by Aurges and modified by Jenell Keahey.	GET drive.root.children FILTER file.createdBy eq Aurges FILTER file.lastModifiedBy eq Jenell Keahey COUNT
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide me with the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
Give me the ids of top 10 files in A-Z order.	GET drive.root.children ORDERBY file.name asc TOP 10
What are the id's of top 10 files that were shared with anyone arrange them in order of last edited time starting from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime desc TOP 10
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
Provide me with the number of files that were last edited by Steve.	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many files were updated by Dillaman?	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id of files I have in my drive?	GET drive.root.children
Give me the number of Fish larvae files that were shared with anyone in my organization.	GET drive.root.children FILTER file.name eq Fish larvae FILTER file.sharedWith eq anyone in my organization COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
List out the id of files I have in my drive.	GET drive.root.children
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
How many xlsx files were created last Tuesday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last Tuesday COUNT
Provide me with the number of files that were shared with anyone.	GET drive.root.children FILTER file.sharedWith eq anyone COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
How many files is in my drive that were last modified last Sunday and created on last Monday?	GET drive.root.children FILTER file.lastModifiedDateTime eq this Sunday FILTER file.createdDateTime eq last Monday COUNT
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
How many excel files were created last week and were shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq xlsx FILTER file.createdDateTime eq last week COUNT
Provide me the number of files that were created by Lawana and last modified by Blair.	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
How many files were lastly edited by Thyfault?	GET drive.root.children FILTER file.lastModifiedBy eq Thyfault COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What are the ids of top 10 files in alphabetical order?	GET drive.root.children ORDERBY file.name asc TOP 10
How many files do I have in my drive that were last updated  by Steve?	GET drive.root.children FILTER file.lastModifiedBy eq Steve COUNT
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
What is the id of the top 4 files about document detection in order from newest to oldest by their last updated time?	GET drive.root.children FILTER file.name eq document detection TOP 4 ORDERBY file.lastModifiedDateTime desc
Tell me about the files named as lan that were created by Darryl Gaut and last updated by Corine ordered by create time from oldest to newest.	GET drive.root.children FILTER file.name eq lan FILTER file.lastModifiedBy eq Corine FILTER file.createdBy eq Darryl Gaut ORDERBY file.createdDateTime asc
